-----------------------
Before shapely
----------------------

Reading json input file: /home/christoph/git/pytzwhere/tzwhere/tz_world_compact.json
         269473500 function calls (269471362 primitive calls) in 272.543 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      129    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1000(__init__)
      109    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap>:1019(init_module_attrs)
      109    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap>:1099(create)
    109/2    0.000    0.000    0.145    0.073 <frozen importlib._bootstrap>:1122(_exec)
       20    0.000    0.000    0.010    0.000 <frozen importlib._bootstrap>:1156(_load_backward_compatible)
    129/2    0.001    0.000    0.145    0.073 <frozen importlib._bootstrap>:1186(_load_unlocked)
      130    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1266(find_spec)
        7    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:1287(load_module)
      109    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:129(_new_module)
        7    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1311(is_package)
      123    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1336(find_spec)
       20    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:141(__init__)
       20    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:144(__enter__)
    109/2    0.000    0.000    0.145    0.073 <frozen importlib._bootstrap>:1465(exec_module)
       20    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:147(__exit__)
       80    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:148(<genexpr>)
        1    0.000    0.000    0.005    0.005 <frozen importlib._bootstrap>:1526(source_to_code)
      109    0.001    0.000    0.031    0.000 <frozen importlib._bootstrap>:1534(get_code)
      109    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1591(__init__)
      109    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1616(get_filename)
      110    0.002    0.000    0.004    0.000 <frozen importlib._bootstrap>:1621(get_data)
      109    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:1631(path_stats)
        1    0.000    0.000    0.001    0.001 <frozen importlib._bootstrap>:1636(_cache_bytecode)
        1    0.000    0.000    0.001    0.001 <frozen importlib._bootstrap>:1641(set_data)
       13    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1697(__init__)
       13    0.000    0.000    0.009    0.001 <frozen importlib._bootstrap>:1708(load_module)
      132    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:172(__init__)
       13    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1726(is_package)
       65    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1729(<genexpr>)
       15    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:1853(_path_hooks)
      355    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:1870(_path_importer_cache)
      123    0.001    0.000    0.023    0.000 <frozen importlib._bootstrap>:1902(_get_spec)
      329    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:192(acquire)
      123    0.000    0.000    0.023    0.000 <frozen importlib._bootstrap>:1934(find_spec)
       15    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1979(__init__)
      135    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1985(<genexpr>)
      122    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:2011(_get_spec)
      355    0.006    0.000    0.021    0.000 <frozen importlib._bootstrap>:2016(find_spec)
       15    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:2061(_fill_cache)
       15    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:2102(path_hook_for_FileFinder)
      376    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:2120(__enter__)
      376    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:2124(__exit__)
      130    0.001    0.000    0.026    0.000 <frozen importlib._bootstrap>:2147(_find_spec)
      329    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:217(release)
       24    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:2187(_sanity_check)
    133/2    0.001    0.000    0.146    0.073 <frozen importlib._bootstrap>:2207(_find_and_load_unlocked)
    133/2    0.001    0.000    0.146    0.073 <frozen importlib._bootstrap>:2234(_find_and_load)
       24    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:2240(_gcd_import)
